ip_proto,tp_src,tp_dst,packet_count,byte_count,duration_sec,packet_count_per_sec,byte_count_per_sec,packet_size_avg,flow_duration,label
1,0,0,2,196,3,0.5577,54.657,98.0,3.586,1
1,0,0,1,98,3,0.2792,27.359,98.0,3.582,1
1,0,0,1,98,3,0.2795,27.3896,98.0,3.578,1
1,0,0,1,98,3,0.2798,27.4203,98.0,3.574,1
1,0,0,1,98,3,0.2803,27.4664,98.0,3.568,1
1,0,0,1,98,3,0.2809,27.5281,98.0,3.56,1
1,0,0,1,98,3,0.2812,27.5591,98.0,3.556,1
1,0,0,1,98,3,0.2816,27.5979,98.0,3.551,1
1,0,0,1,98,3,0.2819,27.629,98.0,3.547,1
1,0,0,1,98,3,0.2827,27.7071,98.0,3.537,1
1,0,0,1,98,3,0.283,27.7385,98.0,3.533,1
1,0,0,1,98,3,0.2834,27.7699,98.0,3.529,1
6,33364,5001,179377,7929647218,1,121694.0299,5379679252.3745,44206.5996,1.474,1
6,47966,80,0,0,1,0.0,0.0,0.0,1.471,1
1,0,0,1,98,3,0.2795,27.3896,98.0,3.578,1
1,0,0,1,98,3,0.2799,27.4279,98.0,3.573,1
1,0,0,1,98,3,0.2803,27.4664,98.0,3.568,1
1,0,0,2,196,3,0.5626,55.1336,98.0,3.555,1
1,0,0,1,98,3,0.2816,27.5979,98.0,3.551,1
1,0,0,1,98,3,0.282,27.6368,98.0,3.546,1
1,0,0,2,196,3,0.5655,55.4142,98.0,3.537,1
1,0,0,1,98,3,0.283,27.7385,98.0,3.533,1
1,0,0,1,98,3,0.2834,27.7699,98.0,3.529,1
1,0,0,1,98,3,0.2842,27.8488,98.0,3.519,1
1,0,0,1,98,3,0.2844,27.8726,98.0,3.516,1
1,0,0,1,98,3,0.2854,27.968,98.0,3.504,1
1,0,0,2,196,8,0.2329,22.8279,98.0,8.586,1
1,0,0,1,98,8,0.1165,11.4192,98.0,8.582,1
1,0,0,1,98,8,0.1166,11.4246,98.0,8.578,1
1,0,0,1,98,8,0.1166,11.4299,98.0,8.574,1
1,0,0,1,98,8,0.1167,11.4379,98.0,8.568,1
1,0,0,1,98,8,0.1168,11.4486,98.0,8.56,1
1,0,0,1,98,8,0.1169,11.454,98.0,8.556,1
1,0,0,1,98,8,0.1169,11.4606,98.0,8.551,1
1,0,0,1,98,8,0.117,11.466,98.0,8.547,1
1,0,0,1,98,8,0.1171,11.4794,98.0,8.537,1
1,0,0,1,98,8,0.1172,11.4848,98.0,8.533,1
1,0,0,1,98,8,0.1172,11.4902,98.0,8.529,1
6,33364,5001,1054240,46649430752,6,162842.1378,7205658132.839,44249.3462,6.474,1
6,47966,80,0,0,6,0.0,0.0,0.0,6.471,1
1,0,0,1,98,8,0.1166,11.4246,98.0,8.578,1
1,0,0,1,98,8,0.1166,11.4312,98.0,8.573,1
1,0,0,1,98,8,0.1167,11.4379,98.0,8.568,1
1,0,0,2,196,8,0.2338,22.9106,98.0,8.555,1
1,0,0,1,98,8,0.1169,11.4606,98.0,8.551,1
1,0,0,1,98,8,0.117,11.4674,98.0,8.546,1
1,0,0,2,196,8,0.2343,22.9589,98.0,8.537,1
1,0,0,1,98,8,0.1172,11.4848,98.0,8.533,1
1,0,0,1,98,8,0.1172,11.4902,98.0,8.529,1
1,0,0,1,98,8,0.1174,11.5037,98.0,8.519,1
1,0,0,1,98,8,0.1174,11.5078,98.0,8.516,1
1,0,0,1,98,8,0.1176,11.524,98.0,8.504,1
1,0,0,2,196,13,0.1472,14.4266,98.0,13.586,1
1,0,0,1,98,13,0.0736,7.2154,98.0,13.582,1
1,0,0,1,98,13,0.0736,7.2176,98.0,13.578,1
1,0,0,1,98,13,0.0737,7.2197,98.0,13.574,1
1,0,0,1,98,13,0.0737,7.2229,98.0,13.568,1
1,0,0,1,98,13,0.0737,7.2271,98.0,13.56,1
1,0,0,1,98,13,0.0738,7.2293,98.0,13.556,1
1,0,0,1,98,13,0.0738,7.2319,98.0,13.551,1
1,0,0,1,98,13,0.0738,7.2341,98.0,13.547,1
1,0,0,1,98,13,0.0739,7.2394,98.0,13.537,1
1,0,0,1,98,13,0.0739,7.2416,98.0,13.533,1
1,0,0,1,98,13,0.0739,7.2437,98.0,13.529,1
6,33364,5001,1923764,85258897128,11,167662.89,7430616796.9322,44318.7923,11.474,1
6,47966,80,0,0,11,0.0,0.0,0.0,11.471,1
1,0,0,1,98,13,0.0736,7.2176,98.0,13.578,1
1,0,0,1,98,13,0.0737,7.2202,98.0,13.573,1
1,0,0,1,98,13,0.0737,7.2229,98.0,13.568,1
1,0,0,2,196,13,0.1475,14.4596,98.0,13.555,1
1,0,0,1,98,13,0.0738,7.2319,98.0,13.551,1
1,0,0,1,98,13,0.0738,7.2346,98.0,13.546,1
1,0,0,2,196,13,0.1477,14.4788,98.0,13.537,1
1,0,0,1,98,13,0.0739,7.2416,98.0,13.533,1
1,0,0,1,98,13,0.0739,7.2437,98.0,13.529,1
1,0,0,1,98,13,0.074,7.2491,98.0,13.519,1
1,0,0,1,98,13,0.074,7.2507,98.0,13.516,1
1,0,0,1,98,13,0.0741,7.2571,98.0,13.504,1
1,0,0,2,196,18,0.1076,10.5456,98.0,18.586,1
1,0,0,1,98,18,0.0538,5.2736,98.0,18.583,1
1,0,0,1,98,18,0.0538,5.2748,98.0,18.579,1
1,0,0,1,98,18,0.0538,5.2759,98.0,18.575,1
1,0,0,1,98,18,0.0539,5.2776,98.0,18.569,1
1,0,0,1,98,18,0.0539,5.2799,98.0,18.561,1
1,0,0,1,98,18,0.0539,5.281,98.0,18.557,1
1,0,0,1,98,18,0.0539,5.2824,98.0,18.552,1
1,0,0,1,98,18,0.0539,5.2836,98.0,18.548,1
1,0,0,1,98,18,0.0539,5.2864,98.0,18.538,1
1,0,0,1,98,18,0.054,5.2876,98.0,18.534,1
1,0,0,1,98,18,0.054,5.2887,98.0,18.53,1
6,33364,5001,2783765,123381460346,16,168969.044,7489011250.1366,44321.7945,16.475,1
6,47966,80,0,0,16,0.0,0.0,0.0,16.472,1
1,0,0,1,98,18,0.0538,5.2748,98.0,18.579,1
1,0,0,1,98,18,0.0538,5.2762,98.0,18.574,1
1,0,0,1,98,18,0.0539,5.2776,98.0,18.569,1
1,0,0,2,196,18,0.1078,10.5626,98.0,18.556,1
1,0,0,1,98,18,0.0539,5.2824,98.0,18.552,1
1,0,0,1,98,18,0.0539,5.2839,98.0,18.547,1
1,0,0,2,196,18,0.1079,10.5729,98.0,18.538,1
1,0,0,1,98,18,0.054,5.2876,98.0,18.534,1
1,0,0,1,98,18,0.054,5.2887,98.0,18.53,1
1,0,0,1,98,18,0.054,5.2916,98.0,18.52,1
1,0,0,1,98,18,0.054,5.2924,98.0,18.517,1
1,0,0,1,98,18,0.054,5.2959,98.0,18.505,1
1,0,0,2,196,23,0.0848,8.3097,98.0,23.587,1
1,0,0,1,98,23,0.0424,4.1555,98.0,23.583,1
1,0,0,1,98,23,0.0424,4.1562,98.0,23.579,1
1,0,0,1,98,23,0.0424,4.1569,98.0,23.575,1
1,0,0,1,98,23,0.0424,4.158,98.0,23.569,1
1,0,0,1,98,23,0.0424,4.1594,98.0,23.561,1
1,0,0,1,98,23,0.0425,4.1601,98.0,23.557,1
1,0,0,1,98,23,0.0425,4.161,98.0,23.552,1
1,0,0,1,98,23,0.0425,4.1617,98.0,23.548,1
1,0,0,1,98,23,0.0425,4.1635,98.0,23.538,1
1,0,0,1,98,23,0.0425,4.1642,98.0,23.534,1
1,0,0,1,98,23,0.0425,4.1649,98.0,23.53,1
6,33364,5001,3647314,161678582796,21,169840.0,7528688372.3399,44328.1228,21.475,1
6,47966,80,0,0,21,0.0,0.0,0.0,21.472,1
1,0,0,1,98,23,0.0424,4.1562,98.0,23.579,1
1,0,0,1,98,23,0.0424,4.1571,98.0,23.574,1
1,0,0,1,98,23,0.0424,4.158,98.0,23.569,1
1,0,0,2,196,23,0.0849,8.3206,98.0,23.556,1
1,0,0,1,98,23,0.0425,4.161,98.0,23.552,1
1,0,0,1,98,23,0.0425,4.1619,98.0,23.547,1
1,0,0,2,196,23,0.085,8.327,98.0,23.538,1
1,0,0,1,98,23,0.0425,4.1642,98.0,23.534,1
1,0,0,1,98,23,0.0425,4.1649,98.0,23.53,1
1,0,0,1,98,23,0.0425,4.1667,98.0,23.52,1
1,0,0,1,98,23,0.0425,4.1672,98.0,23.517,1
1,0,0,1,98,23,0.0425,4.1693,98.0,23.505,1
1,0,0,2,196,28,0.07,6.8563,98.0,28.587,1
1,0,0,1,98,28,0.035,3.4286,98.0,28.583,1
1,0,0,1,98,28,0.035,3.4291,98.0,28.579,1
1,0,0,1,98,28,0.035,3.4296,98.0,28.575,1
1,0,0,1,98,28,0.035,3.4303,98.0,28.569,1
1,0,0,1,98,28,0.035,3.4313,98.0,28.561,1
1,0,0,1,98,28,0.035,3.4317,98.0,28.557,1
1,0,0,1,98,28,0.035,3.4323,98.0,28.552,1
1,0,0,1,98,28,0.035,3.4328,98.0,28.548,1
1,0,0,1,98,28,0.035,3.434,98.0,28.538,1
1,0,0,1,98,28,0.035,3.4345,98.0,28.534,1
1,0,0,1,98,28,0.0351,3.435,98.0,28.53,1
6,33364,5001,4521107,200394432638,26,170768.9141,7569194811.6336,44324.196,26.475,1
6,47966,80,0,0,26,0.0,0.0,0.0,26.472,1
1,0,0,1,98,28,0.035,3.4291,98.0,28.579,1
1,0,0,1,98,28,0.035,3.4297,98.0,28.574,1
1,0,0,1,98,28,0.035,3.4303,98.0,28.569,1
1,0,0,2,196,28,0.07,6.8637,98.0,28.556,1
1,0,0,1,98,28,0.035,3.4323,98.0,28.552,1
1,0,0,1,98,28,0.035,3.4329,98.0,28.547,1
1,0,0,2,196,28,0.0701,6.868,98.0,28.538,1
1,0,0,1,98,28,0.035,3.4345,98.0,28.534,1
1,0,0,1,98,28,0.0351,3.435,98.0,28.53,1
1,0,0,1,98,28,0.0351,3.4362,98.0,28.52,1
1,0,0,1,98,28,0.0351,3.4365,98.0,28.517,1
1,0,0,1,98,28,0.0351,3.438,98.0,28.505,1
1,0,0,1,98,33,0.0298,2.9185,98.0,33.579,1
1,0,0,1,98,33,0.0298,2.9189,98.0,33.574,1
1,0,0,1,98,33,0.0298,2.9194,98.0,33.569,1
1,0,0,2,196,33,0.0596,5.841,98.0,33.556,1
1,0,0,1,98,33,0.0298,2.9208,98.0,33.552,1
1,0,0,1,98,33,0.0298,2.9213,98.0,33.547,1
1,0,0,2,196,33,0.0596,5.8441,98.0,33.538,1
1,0,0,1,98,33,0.0298,2.9224,98.0,33.534,1
1,0,0,1,98,33,0.0298,2.9228,98.0,33.53,1
1,0,0,1,98,33,0.0298,2.9236,98.0,33.52,1
1,0,0,1,98,33,0.0298,2.9239,98.0,33.517,1
1,0,0,1,98,33,0.0298,2.9249,98.0,33.505,1
1,0,0,2,196,33,0.0595,5.8356,98.0,33.587,1
1,0,0,1,98,33,0.0298,2.9181,98.0,33.583,1
1,0,0,1,98,33,0.0298,2.9185,98.0,33.579,1
1,0,0,1,98,33,0.0298,2.9188,98.0,33.575,1
1,0,0,1,98,33,0.0298,2.9194,98.0,33.569,1
1,0,0,1,98,33,0.0298,2.9201,98.0,33.561,1
1,0,0,1,98,33,0.0298,2.9204,98.0,33.557,1
1,0,0,1,98,33,0.0298,2.9208,98.0,33.552,1
1,0,0,1,98,33,0.0298,2.9212,98.0,33.548,1
1,0,0,1,98,33,0.0298,2.9221,98.0,33.538,1
1,0,0,1,98,33,0.0298,2.9224,98.0,33.534,1
